employee_id,name,department,designation,date_of_joining,work_location,reporting_manager,employment_type,tenure_in_current_role,past_roles_held,total_experience,avg_hours_logged_vs_team,task_completion_ratio,active_workdays,voluntary_contributions,burnout_risk,responsiveness,meeting_participation,task_ownership,adherence_to_deadlines,work_quality_consistency,conversion_rate,revenue_generated,upsell_opportunities_closed,client_retention_rate,crm_followup_consistency,code_commits,bug_fix_count,sprint_velocity,deployment_frequency,code_quality,model_accuracy,feature_engineering,experiment_reproducibility,model_deployment_count,tech_debt_reduction,positions_filled,onboarding_satisfaction,training_sessions_delivered,employee_engagement_score,policy_compliance_x,feature_delivery_timeliness,roadmap_adherence,cross_team_coordination,sprint_success_rate,stakeholder_ratings,ledger_accuracy,compliance_adherence,invoice_processing_efficiency,audit_readiness_score,report_submission_punctuality,campaign_reach,leads_generated,social_engagement_rate,seo_improvement,content_delivery_timeliness,test_cases_executed,bugs_reported,automation_coverage,regression_pass_rate,defect_leakage_rate,budget_forecasting_accuracy,variance_analysis_score,report_timeliness,cost_saving_suggestions,financial_modeling_score,uptime_percentage,mttr,successful_deployments,cicd_pipeline_efficiency,incident_response_time,design_delivery_timeliness,usability_test_score,rework_count,visual_consistency,accessibility_score,reports_delivered,insight_accuracy,query_efficiency,dashboard_usage_rate,data_quality_score,certifications_completed,online_courses_attended,training_hours_logged,knowledge_contributions,hackathon_participation,innovation_submissions,peer_review_rating,manager_feedback,meeting_participation_rate,communication_effectiveness,conflict_resolution,mentorship_participation,client_communication,response_to_change,initiative_in_projects,adaptability_to_change,promotion_recommendation,retention_suggestion,leadership_score,stress_load_tolerance,special_recognitions,hr_warnings,peer_complaints,recognition_received,policy_compliance_y,ethics_confidentiality,total_experience_score,internal_transfers,promotions_achieved,projects_handled,past_ratings_history,score_delta,manager_comments,hr_notes,peer_reviews,client_feedback,effort_engagement_score,role_specific_kpi_score,skill_development_score,collaboration_communication_score,adaptability_growth_score,integrity_feedback_score,historical_progress_score,overall_weighted_score
EMP0001,Brian Fernandez,Sales,Sales Executive,6/2/2023,Hybrid,Mackenzie Brown,Full-Time,2.1,0,5.1,4,4,4,3,3,3,4,5,3,3,4,4,2,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3,0,1,3,3,4,3,3,5,3,2,4,4,1,0,4,3,0,0,1,3,5,5,5,3,0,1,2,3,"In my assessment, Brian Fernandez has shown dependable work as a Sales Executive. Development suggestion: could benefit from code review sessions. Maintains strong client relationships and follows up consistently.",Brian Fernandez demonstrates good work-life balance and time management.,"As a colleague, I find Brian Fernandez to be solid to work with. They demonstrate active listening.",Brian Fernandez handles client requests professionally and efficiently.,4,3.8,0,3,3,5,1,3
EMP0002,Gabriela Morris,Engineering,Software Developer,8/23/2021,On-site,Michael Mcdonald MD,Full-Time,3.8,1,6.3,5,4,4,2,3,3,3,5,3,3,,,,,,3,3,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,3,1,0,0,3,3,3,3,3,0,2,4,4,3,1,0,4,3,0,0,0,3,5,5,2,4,2,5,2,5,Gabriela Morris has demonstrated consistent performance this quarter. They demonstrate conflict resolution. They demonstrate stakeholder management. Development suggestion: recommend leadership training.,Gabriela Morris demonstrates good work-life balance and time management. Consistently demonstrates high ethical standards.,Gabriela Morris brings consistent contributions to our team. They demonstrate strong technical skills. They demonstrate cross-functional collaboration. Area for improvement: could improve written communication. Development suggestion: could benefit from code review sessions.,N/A - Role does not involve direct client interaction,4,3.4,4,3,4,5,3,4
EMP0003,Jennifer Smith,Engineering,Software Developer,7/27/2022,On-site,Jacob Weaver,Intern,2.9,3,4,3,4,3,2,3,4,4,5,3,3,,,,,,3,3,4,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,4,3,0,0,3,3,4,4,5,0,3,2,4,2,1,0,4,3,0,0,0,1,5,5,4,3,0,5,3,5,"Overall, Jennifer Smith's performance has been acceptable during this review period. Area for improvement: could improve peer collaboration. They contribute valuable technical expertise to the team.",Jennifer Smith shows commitment to continuous learning and development. Attendance record is excellent.,"As a colleague, I find Jennifer Smith to be typical to work with. Area for improvement: could improve testing practices. They contribute valuable technical expertise to the team.",N/A - Role does not involve direct client interaction,4,2.8,3,4,3,5,3,4
EMP0004,Brian Baker,Engineering,AI/ML Engineer,7/21/2021,On-site,Stephanie Campos,Full-Time,3.9,3,5.6,4,4,3,3,3,3,4,5,3,2,,,,,,,,,,,3,2,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,5,5,5,0,2,3,4,3,5,0,1,2,4,3,1,0,4,3,0,0,0,5,1,5,5,3,1,4,3,3,"Overall, Brian Baker's performance has been solid during this review period. They demonstrate stakeholder management. Area for improvement: needs to be more proactive in team discussions. Development suggestion: suitable for mentoring junior team members. They contribute valuable technical expertise to the team.",Brian Baker maintains professional conduct and follows company policies.,Working with Brian Baker has been a solid experience. They demonstrate effective documentation. They demonstrate leads by example. Area for improvement: should participate more in team activities.,N/A - Role does not involve direct client interaction,4,4,3,3,3,3,2,3
EMP0005,Molly Lopez,HR,HR Executive,5/13/2023,Remote,Lori Welch,Full-Time,2.1,0,4,2,2,2,2,2,3,4,2,3,4,,,,,,,,,,,,,,,,3,2,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,5,0,0,3,4,3,4,3,3,0,2,2,2,3,1,0,2,4,0,0,0,3,5,5,5,3,1,4,3,3,"Overall, Molly Lopez's performance has been typical during this review period. Area for improvement: needs better prioritization.",Molly Lopez actively participates in company initiatives and team activities. Consistently demonstrates high ethical standards. Received positive feedback from multiple sources.,Working with Molly Lopez has been a typical experience. Area for improvement: needs to speak up more in meetings.,Client satisfied overall but noted areas for improvement.,3,2.6,4,3,2,4,2,3
EMP0006,Thomas Peterson,Product,Product Manager,1/27/2023,Remote,Amber Klein,Intern,2.4,2,6.4,1,2,1,4,2,2,2,5,4,2,,,,,,,,,,,,,,,,,,,,,4,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,5,1,2,3,1,3,3,0,3,2,4,3,0,0,4,4,0,0,0,3,5,5,5,5,0,3,3,5,"Overall, Thomas Peterson's performance has been standard during this review period. Area for improvement: could improve peer collaboration.",Thomas Peterson maintains professional conduct and follows company policies. Consistently demonstrates high ethical standards. Attendance record is excellent.,Thomas Peterson brings standard contributions to our team. Area for improvement: requires better error handling.,Client noted occasional delays in response times from Thomas Peterson.,2,3.8,0,3,3,5,3,3
EMP0007,Katherine Woods,Finance,Accountant,12/20/2020,Hybrid,Paul Simmons,Full-Time,4.5,3,4.9,3,3,2,1,3,2,3,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,0,0,2,2,3,2,3,5,4,2,3,2,1,0,3,3,0,0,0,1,5,5,3,4,2,1,4,3,"Overall, Katherine Woods's performance has been satisfactory during this review period. Area for improvement: could improve peer collaboration.",Katherine Woods shows commitment to continuous learning and development. Completed all mandatory training on time.,"As a colleague, I find Katherine Woods to be typical to work with. Area for improvement: requires better planning.",N/A - Role does not involve direct client interaction,3,2.4,2,2,2,5,3,3
EMP0008,Gary Lee,Marketing,Marketing Specialist,4/4/2021,Hybrid,Regina Davidson,Intern,4.2,2,7.1,1,3,2,2,2,3,4,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,1,0,0,4,3,4,3,1,0,3,2,3,4,0,0,3,4,0,0,0,5,5,5,2,3,0,5,2,3,Gary Lee has demonstrated acceptable performance this quarter. Area for improvement: should participate more in team activities.,Gary Lee actively participates in company initiatives and team activities. Exemplary adherence to company values and ethics.,"As a colleague, I find Gary Lee to be adequate to work with. Area for improvement: needs better client communication.",Client requested clearer documentation from Gary Lee on some deliverables.,3,2.6,1,3,3,5,2,3
EMP0009,Lori Fuller,Finance,Accountant,9/6/2023,On-site,Christian Smith,Intern,1.8,1,5.7,3,3,4,2,3,3,4,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,5,1,0,0,2,3,4,3,3,5,3,2,3,3,0,0,3,3,1,0,0,3,5,5,3,3,0,4,3,1,"In my assessment, Lori Fuller has shown consistent work as a Accountant. They demonstrate active listening. They demonstrate conflict resolution.",Lori Fuller contributes positively to team culture and collaboration. Exemplary adherence to company values and ethics. Received positive feedback from multiple sources.,Working with Lori Fuller has been a solid experience. Maintains high accuracy in financial reporting and analysis.,N/A - Role does not involve direct client interaction,3,3,3,3,3,5,1,3
EMP0010,Vanessa Davis,Engineering,QA Tester,11/15/2024,On-site,Christina Smith,Full-Time,0.6,3,2,1,3,3,2,2,3,2,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,3,,,,,,,,,,,,,,,,,,,,,0,0,4,0,0,3,2,3,2,3,3,0,2,2,3,2,1,0,3,4,0,0,1,3,3,5,4,5,1,4,2,5,"Overall, Vanessa Davis's performance has been acceptable during this review period. Area for improvement: should provide clearer status updates. They contribute valuable technical expertise to the team.",Vanessa Davis contributes positively to team culture and collaboration. Some areas for improvement in policy compliance noted.,Working with Vanessa Davis has been a satisfactory experience. Area for improvement: could improve estimation skills. They contribute valuable technical expertise to the team.,N/A - Role does not involve direct client interaction,3,4,1,3,2,4,3,3
